ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,instamart_name,VARIANT,instamart_identifier,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
01/04/2025,Mumbai,andheri west,1395000,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,Yes,89043,1,179,18,3222
01/04/2025,Faridabad,nit,1393826,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,No,,,179,13,2327
01/04/2025,Jaipur,malviya nagar,1398003,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,Yes,89043,1,179,11,1969
01/04/2025,Ahmedabad,sg highway,1401006,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,Yes,880235,1,179,8,1432
01/04/2025,Chennai,royapettah,1400603,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,No,,,179,20,3580
01/04/2025,Chandigarh,south mohali,1403831,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,No,,,179,5,895
01/04/2025,Agra,civil lines,1401076,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,No,,,179,8,1432
01/04/2025,Bhopal,mp nagar,1399345,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,Yes,12312,1,179,15,2685
01/04/2025,Gurgaon,dlf phase 4,762551,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,No,,,179,19,3401
01/04/2025,Central Goa,calangute,1392082,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt | nimbu pani mix 225 g,225 g,792374,No,,,179,11,1969
01/04/2025,Hyderabad,kharkhana & trimulgherry,1393828,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,No,,,339,8,2712
01/04/2025,Lucknow,hazratganj,1399004,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,No,,,339,6,2034
01/04/2025,Mumbai,andheri west,1395000,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,No,,,339,12,4068
01/04/2025,Gurgaon,jalvayu towers,1402609,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,No,,,339,11,3729
01/04/2025,Bengaluru,koramangala,1397002,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,Yes,743563,1,339,13,4407
01/04/2025,Ahmedabad,sg highway,1401006,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,Yes,743563,1,339,4,1356
01/04/2025,Chandigarh,south mohali,1403831,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,No,,,339,7,2373
01/04/2025,Pune,koregaon park,1396001,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,Yes,880235,1,339,7,2373
01/04/2025,Central Goa,calangute,1392082,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,No,,,339,5,1695
01/04/2025,Jaipur,malviya nagar,1398003,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,No,,,339,9,3051
01/04/2025,Chennai,avadi,1401467,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,No,,,339,11,3729
01/04/2025,Delhi,dwarka 2,1401649,summer drinks and snacks,tea,drink mixes,jaldhara kala namak lemonade - premium instant drink mix with himalayan black salt 450 g,450 g,564490,Yes,53245,1,339,6,2034
01/04/2025,Hyderabad,kharkhana & trimulgherry,1393828,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,No,,,99,23,2277
01/04/2025,Central Goa,calangute,1392082,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,No,,,99,18,1782
01/04/2025,Noida,shalimar garden,1401468,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,Yes,880235,1,99,14,1386
01/04/2025,Mumbai,andheri west,1395000,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,No,,,99,18,1782
01/04/2025,Chennai,avadi,1401467,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,Yes,12312,1,99,28,2772
01/04/2025,Gurgaon,dlf phase 4,762551,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,No,,,99,32,3168
01/04/2025,Bengaluru,koramangala,1397002,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,No,,,99,20,1980
01/04/2025,Gurgaon,jalvayu towers,1402609,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,No,,,99,18,1782
01/04/2025,Bhopal,mp nagar,1399345,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,No,,,99,14,1386
01/04/2025,Lucknow,hazratganj,1399004,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,Yes,880235,1,99,15,1485
01/04/2025,Hyderabad,madhapur,737088,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,Yes,743563,1,99,28,2772
01/04/2025,Faridabad,nit,1393826,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,No,,,99,13,1287
01/04/2025,Agra,civil lines,1401076,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant mango iced drink premix(box) 220 g (22 g x 10),220 g,671967,No,,,99,16,1584
01/04/2025,Jaipur,malviya nagar,1398003,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant watermelon iced drink premix(box) 220 g (22 g x 10),220 g,282593,No,,,99,9,891
01/04/2025,Central Goa,calangute,1392082,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant watermelon iced drink premix(box) 220 g (22 g x 10),220 g,282593,No,,,99,8,792
01/04/2025,Bengaluru,koramangala,1397002,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant watermelon iced drink premix(box) 220 g (22 g x 10),220 g,282593,No,,,99,20,1980
01/04/2025,Ahmedabad,sg highway,1401006,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant watermelon iced drink premix(box) 220 g (22 g x 10),220 g,282593,No,,,99,8,792
01/04/2025,Mumbai,andheri west,1395000,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant watermelon iced drink premix(box) 220 g (22 g x 10),220 g,282593,No,,,99,12,1188
01/04/2025,Hyderabad,kharkhana & trimulgherry,1393828,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant watermelon iced drink premix(box) 220 g (22 g x 10),220 g,282593,No,,,99,12,1188
01/04/2025,Hyderabad,madhapur,737088,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant watermelon iced drink premix(box) 220 g (22 g x 10),220 g,282593,No,,,99,19,1881
01/04/2025,Delhi,dwarka 2,1401649,summer drinks and snacks,instant drink mixes,ice tea,jaldhara instant watermelon iced drink premix(box) 220 g (22 g x 10),220 g,282593,No,,,99,19,1881
01/04/2025,Lucknow,hazratganj,1399004,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,No,,,189,8,1512
01/04/2025,Gurgaon,jalvayu towers,1402609,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,No,,,189,10,1890
01/04/2025,Central Goa,calangute,1392082,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,No,,,189,7,1323
01/04/2025,Chennai,avadi,1401467,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,Yes,743563,1,189,22,4158
01/04/2025,Gurgaon,dlf phase 4,762551,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,No,,,189,18,3402
01/04/2025,Hyderabad,madhapur,737088,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,No,,,189,14,2646
01/04/2025,Bhopal,mp nagar,1399345,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,No,,,189,7,1323
01/04/2025,Pune,koregaon park,1396001,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,No,,,189,7,1323
01/04/2025,Ahmedabad,sg highway,1401006,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,Yes,89043,1,189,6,1134
01/04/2025,Agra,civil lines,1401076,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,No,,,189,3,567
01/04/2025,Kochi,kaloor,1404578,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,Yes,89043,1,189,8,1512
01/04/2025,Noida,shalimar garden,1401468,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,Yes,880235,1,189,7,1323
01/04/2025,Jaipur,malviya nagar,1398003,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,No,,,189,2,378
01/04/2025,Hyderabad,kharkhana & trimulgherry,1393828,summer drinks and snacks,green tea and herbal tea,tea bags,jaldhara kewra sharbat concentrate 25 pyramid bags whole leaf extract 100% natural 150 g,150 g,426546,No,,,189,6,1134
01/04/2025,Chennai,avadi,1401467,summer drinks and snacks,tea,tea premix,jaldhara lemon electrolyte instant drink mix - low sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,210885,No,,,175,11,1925
01/04/2025,Hyderabad,kharkhana & trimulgherry,1393828,summer drinks and snacks,tea,tea premix,jaldhara lemon electrolyte instant drink mix - low sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,210885,No,,,175,18,3150
01/04/2025,Agra,civil lines,1401076,summer drinks and snacks,tea,tea premix,jaldhara lemon electrolyte instant drink mix - low sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,210885,No,,,175,11,1925
01/04/2025,Delhi,dwarka 2,1401649,summer drinks and snacks,tea,tea premix,jaldhara lemon electrolyte instant drink mix - low sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,210885,No,,,175,20,3500
01/04/2025,Gurgaon,jalvayu towers,1402609,summer drinks and snacks,tea,tea premix,jaldhara lemon electrolyte instant drink mix - low sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,210885,No,,,175,18,3150
01/04/2025,Gurgaon,dlf phase 4,762551,summer drinks and snacks,tea,tea premix,jaldhara lemon electrolyte instant drink mix - low sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,210885,No,,,175,16,2800
01/04/2025,Bhopal,mp nagar,1399345,summer drinks and snacks,tea,tea premix,jaldhara lemon electrolyte instant drink mix - low sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,210885,No,,,175,13,2275
01/04/2025,Kolkata,salt lake,1400005,summer drinks and snacks,tea,tea premix,jaldhara lemon electrolyte instant drink mix - low sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,210885,No,,,175,18,3150
01/04/2025,Mumbai,andheri west,1395000,summer drinks and snacks,tea,tea premix,jaldhara lemon electrolyte instant drink mix - low sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,210885,Yes,880235,1,175,10,1750
01/04/2025,Pune,koregaon park,1396001,summer drinks and snacks,tea,tea premix,jaldhara lemon electrolyte instant drink mix - low sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,210885,Yes,53245,1,175,13,2275
01/04/2025,Gurgaon,jalvayu towers,1402609,summer drinks and snacks,tea,tea premix,jaldhara orange electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,901105,No,,,158,21,3318
01/04/2025,Kolkata,salt lake,1400005,summer drinks and snacks,tea,tea premix,jaldhara orange electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,901105,Yes,53245,1,158,18,2844
01/04/2025,Mumbai,andheri west,1395000,summer drinks and snacks,tea,tea premix,jaldhara orange electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,901105,No,,,158,10,1580
01/04/2025,Faridabad,nit,1393826,summer drinks and snacks,tea,tea premix,jaldhara orange electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,901105,No,,,158,12,1896
01/04/2025,Hyderabad,madhapur,737088,summer drinks and snacks,tea,tea premix,jaldhara orange electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,901105,No,,,158,23,3634
01/04/2025,Lucknow,hazratganj,1399004,summer drinks and snacks,tea,tea premix,jaldhara orange electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,901105,No,,,158,11,1738
01/04/2025,Noida,shalimar garden,1401468,summer drinks and snacks,tea,tea premix,jaldhara orange electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,901105,No,,,158,9,1422
01/04/2025,Chennai,avadi,1401467,summer drinks and snacks,tea,tea premix,jaldhara orange electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,901105,Yes,12312,1,158,19,3002
01/04/2025,Pune,koregaon park,1396001,summer drinks and snacks,tea,tea premix,jaldhara orange electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,901105,Yes,53245,1,158,10,1580
01/04/2025,Gurgaon,dlf phase 4,762551,summer drinks and snacks,tea,tea premix,jaldhara orange electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,901105,No,,,158,24,3792
01/04/2025,Noida,shalimar garden,1401468,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,No,,,158,16,2528
01/04/2025,Gurgaon,jalvayu towers,1402609,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,Yes,743563,1,158,20,3160
01/04/2025,Lucknow,hazratganj,1399004,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,Yes,880235,1,158,4,632
01/04/2025,Kochi,kaloor,1404578,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,No,,,158,10,1580
01/04/2025,Pune,koregaon park,1396001,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,No,,,158,8,1264
01/04/2025,Bhopal,mp nagar,1399345,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,No,,,158,9,1422
01/04/2025,Faridabad,nit,1393826,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,Yes,89043,1,158,11,1738
01/04/2025,Chandigarh,south mohali,1403831,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,No,,,158,10,1580
01/04/2025,Chennai,avadi,1401467,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,No,,,158,21,3318
01/04/2025,Jaipur,malviya nagar,1398003,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,Yes,89043,1,158,10,1580
01/04/2025,Central Goa,calangute,1392082,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,No,,,158,8,1264
01/04/2025,Bengaluru,koramangala,1397002,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,No,,,158,10,1580
01/04/2025,Mumbai,andheri west,1395000,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,No,,,158,18,2844
01/04/2025,Agra,civil lines,1401076,summer drinks and snacks,tea,tea premix,jaldhara masala lime electrolyte instant drink mix - regular sugar | instant electrolyte drink 330 grams (16.5 g x 20 sachets),330 g,233463,No,,,158,11,1738
01/04/2025,Lucknow,hazratganj,1399004,summer drinks and snacks,instant drink mixes,combo,"jaldhara instant drink mix combo, 210 grams, nimbu shikanji, aam panna, jaljeera powder (15 sachets)",210 g,453209,No,,,149,4,596
01/04/2025,Agra,civil lines,1401076,summer drinks and snacks,instant drink mixes,combo,"jaldhara instant drink mix combo, 210 grams, nimbu shikanji, aam panna, jaljeera powder (15 sachets)",210 g,453209,No,,,149,9,1341
01/04/2025,Kochi,kaloor,1404578,summer drinks and snacks,instant drink mixes,combo,"jaldhara instant drink mix combo, 210 grams, nimbu shikanji, aam panna, jaljeera powder (15 sachets)",210 g,453209,No,,,149,6,894
01/04/2025,Faridabad,nit,1393826,summer drinks and snacks,instant drink mixes,combo,"jaldhara instant drink mix combo, 210 grams, nimbu shikanji, aam panna, jaljeera powder (15 sachets)",210 g,453209,No,,,149,4,596
01/04/2025,Bengaluru,koramangala,1397002,summer drinks and snacks,instant drink mixes,combo,"jaldhara instant drink mix combo, 210 grams, nimbu shikanji, aam panna, jaljeera powder (15 sachets)",210 g,453209,No,,,149,14,2086
01/04/2025,Noida,shalimar garden,1401468,summer drinks and snacks,instant drink mixes,combo,"jaldhara instant drink mix combo, 210 grams, nimbu shikanji, aam panna, jaljeera powder (15 sachets)",210 g,453209,Yes,53245,1,149,4,596
01/04/2025,Hyderabad,madhapur,737088,summer drinks and snacks,instant drink mixes,combo,"jaldhara instant drink mix combo, 210 grams, nimbu shikanji, aam panna, jaljeera powder (15 sachets)",210 g,453209,Yes,12312,1,149,13,1937
01/04/2025,Delhi,dwarka 2,1401649,summer drinks and snacks,instant drink mixes,combo,"jaldhara instant drink mix combo, 210 grams, nimbu shikanji, aam panna, jaljeera powder (15 sachets)",210 g,453209,No,,,149,14,2086
01/04/2025,Kolkata,salt lake,1400005,summer drinks and snacks,instant drink mixes,drink mixes,jaldhara ghar wali aam panna instant drink mix 50 g (10 g x 5 sachets),50 g,104520,No,,,55,22,1210
01/04/2025,Hyderabad,kharkhana & trimulgherry,1393828,summer drinks and snacks,instant drink mixes,drink mixes,jaldhara ghar wali aam panna instant drink mix 50 g (10 g x 5 sachets),50 g,104520,No,,,55,13,715
01/04/2025,Chennai,royapettah,1400603,summer drinks and snacks,instant drink mixes,drink mixes,jaldhara ghar wali aam panna instant drink mix 50 g (10 g x 5 sachets),50 g,104520,No,,,55,16,880
01/04/2025,Gurgaon,dlf phase 4,762551,summer drinks and snacks,instant drink mixes,drink mixes,jaldhara ghar wali aam panna instant drink mix 50 g (10 g x 5 sachets),50 g,104520,No,,,55,16,880
01/04/2025,Lucknow,hazratganj,1399004,summer drinks and snacks,instant drink mixes,drink mixes,jaldhara ghar wali aam panna instant drink mix 50 g (10 g x 5 sachets),50 g,104520,No,,,55,11,605
01/04/2025,Jaipur,malviya nagar,1398003,summer drinks and snacks,instant drink mixes,drink mixes,jaldhara ghar wali aam panna instant drink mix 50 g (10 g x 5 sachets),50 g,104520,No,,,55,12,660
01/04/2025,Chennai,avadi,1401467,summer drinks and snacks,instant drink mixes,drink mixes,jaldhara ghar wali aam panna instant drink mix 50 g (10 g x 5 sachets),50 g,104520,No,,,55,21,1155
01/04/2025,Gurgaon,jalvayu towers,1402609,summer drinks and snacks,instant drink mixes,drink mixes,jaldhara ghar wali aam panna instant drink mix 50 g (10 g x 5 sachets),50 g,104520,Yes,53245,1,55,12,660
